"ID","SoilKey","Longitude","Latitude"
130,"1807191108177651",-108.553592,39.515772
131,"1807231108449726",-106.76792,38.43785
132,"1807231610344027",-106.70004,38.28115
133,"1807250927273444",-108.98216,38.97121
134,"1807251255473320",-108.93999,39.18286
135,"1807251609587256",-108.92898,39.0359
136,"180725171413827",-107.900535,39.578063
137,"1807301651399400",-108.019892,39.588423
138,"1807311458198755",-107.81617,39.60937
139,"180731152521297",-106.74483,38.2922
140,"1808071319487525",-106.81755,38.3691
141,"1808131220462563",-109.01197,38.16551
142,"1808141322363628",-106.67102,38.16795
143,"1808151604556839",-106.69733,38.18936
144,"180816080631732",-106.7037,38.44212
145,"1808161431325539",-108.83942,39.33998
146,"180907124043474",-107.57408,39.35866
147,"1809120823449591",-109.01397,39.1865
148,"180912140049132",-109.05092,39.20422
149,"1809131053236729",-108.33916,39.39532
150,"1809191658465151",-107.38811,39.430449
151,"180925132222601",-108.85023,37.88623
152,"1809261512195969",-108.77425,37.75301
153,"1810020831476791",-108.9166,38.02083
154,"1810021102286300",-108.99177,37.95803
155,"1810021328228829",-109.04826,38.21417
156,"1810021604257153",-106.7768,38.4676
157,"1810030833055404",-109.03053,38.05436
158,"1810030844103012",-108.98072,38.07556
159,"1908121206523370",-109.018573,38.873652
160,"1908141019221475",-108.836675,39.098172
161,"1908141408546417",-108.928762,39.035725
162,"1908190543437166",-108.9905,38.89601
163,"1908190627221826",-109.02992,38.98202
164,"190819074416649",-109.02052,38.89153
165,"1908190858451667",-108.94352,39.02642
166,"1908191522023356",-108.80174,39.07433
167,"1908200732394390",-108.89356,39.02087
168,"1908200958532854",-108.91725,39.01109
169,"1908201116135229",-108.84418,39.09009
170,"1908201240198259",-109.02543,38.98484
171,"1908201348297816",-108.99232,38.88874
172,"1908201510169046",-108.92534,39.03149
173,"1908210720428508",-109.009293,38.91597
174,"1908220748545514",-109.046977,38.899301
175,"190822101847800",-108.982155,38.909356
176,"1908221312364944",-108.959626,38.883118
177,"1908221436499134",-108.999941,38.859951
178,"1908230707539288",-109.005987,38.905198
179,"1908231053449540",-108.905065,39.02654
180,"1908231246227606",-108.98443,38.898148
181,"1908260548416267",-108.924466,39.040798
182,"1908270715096777",-108.931518,39.045655
183,"1908270904239366",-108.9081,39.00742
184,"1908271007181643",-108.78498,39.07811
185,"1908271526292675",-108.791542,39.091499
186,"CO_CO-NWD-2020_CO-1007_V1",-107.25212572,39.34220172
187,"CO_CO-NWD-2020_CW-1037_V1",-108.98203342,38.97118618
188,"CO_CO-NWD-2020_GOS-173_V1",-108.46317519,39.36211647
189,"CO_CO-NWD-2020_MSDS-233_V1",-108.27724063,39.30961859
190,"CO_CO-NWD-2020_PJ-467_V1",-107.23980828,39.44691853
191,"CO_CO-NWD-2020_QA-1221_V1",-107.38225294,39.45683393
192,"CO_CO-NWD-2020_WyoSage-1289_V1",-108.8059079,39.33601905
193,"CO_CO-NWD-2020_WyoSage-811_V1",-108.26257565,39.34975472
194,"CO_CO-NWD-2020_WyoSage-827_V1",-108.51048009,39.30190571
195,"CO_GJFO_GUSG_2019_GJFO_GUSG_2019-38_V1",-108.9552459,39.05668524
196,"CO_GJFO_GUSG_2019_GJFO_GUSG_2019-74_V1",-108.78554142,39.10944031
197,"CO_Gunnison-Field-Office-2020_Forest_Other-003_V1",-106.94032229,38.19316185
198,"CO_Gunnison-Field-Office-2020_Forest_Other-014_V1",-106.97211445,38.14869368
199,"CO_Gunnison-Field-Office-2020_Forest_Other-058_V1",-106.92916076,38.16216801
200,"CO_Gunnison-Field-Office-2020_GUSG_Habitat-498_V1",-106.63852635,38.35909222
201,"CO_TRFO-2020_MS-215_V1",-108.85725448,37.90337168
