PrimaryKey,PlotKey,PlotID,State,County,ID
18072905431932532018-09-01,1807290543193253,Other-2179,CO,Hinsdale,76
18060112334513562018-09-01,1806011233451356,GRSGInt-02,CO,Montrose,77
1608291406292212016-09-01,160829140629221,Other-443,CO,Hinsdale,78
16070712471072872016-09-01,1607071247107287,176,CO,Mesa,79
17100310311740282017-09-01,1710031031174028,PJ-403,CO,Mesa,80
18052412460135612018-09-01,1805241246013561,MtnSage-2137,CO,Gunnison,81
18052408364154442018-09-01,1805240836415444,Oak-2045,CO,Gunnison,82
CO_Gunnison-Field-Office-2020_Oak-2045_V22020-09-01,CO_Gunnison-Field-Office-2020_Oak-2045_V2,Oak-2045,CO,Gunnison Field Office,83
COS08000_2019_MSDS-2172019-09-01,COS08000_2019_MSDS-217,MSDS-217,CO,COS08000,84
15072219024972882015-09-01,1507221902497288,8068 MAGPIE,CO,NA,85
1806011234391202018-09-01,180601123439120,GRSGInt-04,CO,San Miguel,86
1507201842135732015-09-01,150720184213573,7016 Basin 1A,CO,NA,87
16082510005586042016-09-01,1608251000558604,Oak-148,CO,Gunnison,88
15061012543716442015-09-01,1506101254371644,87,CO,NA,89
18072608030617112018-09-01,1807260803061711,Oak-2049,CO,Gunnison,90
COS01000_2019_SS-0812019-09-01,COS01000_2019_SS-081,SS-081,CO,COS01000,91
1708091422142282017-09-01,170809142214228,Conifer-1007,CO,Gunnison,92
1805311336417542018-09-01,180531133641754,Oak-2061,CO,Gunnison,93
17080908410521952017-09-01,1708090841052195,Other-1120,CO,San Juan,94
COS08000_2019_WyoSage-7582019-09-01,COS08000_2019_WyoSage-758,WyoSage-758,CO,COS08000,95
18073116091560102018-09-01,1807311609156010,Conifer-2010,CO,Gunnison,96
18060112160878222018-09-01,1806011216087822,SS-063,CO,Montrose,97
18060708145710242018-09-01,1806070814571024,MtnSage-2141,CO,Gunnison,98
1506021028345982015-09-01,150602102834598,31,CO,NA,99
16061609073125292016-09-01,1606160907312529,CW-056,CO,Mesa,100
CO_TRFO-2020_PJ-023_V12020-09-01,CO_TRFO-2020_PJ-023_V1,PJ-023,CO,Tres Rios Field Office,101
CO_Gunnison-Field-Office-2020_Oak-2077_V22020-09-01,CO_Gunnison-Field-Office-2020_Oak-2077_V2,Oak-2077,CO,Gunnison Field Office,102
17060807171991822017-09-01,1706080717199182,Cotton-1396,CO,Gunnison,103
15072308002739522015-09-01,1507230800273952,7016 N Monogram 1,CO,NA,104
18062612033670292018-09-01,1806261203367029,Oak-2053,CO,Gunnison,105
CO_Gunnison-Field-Office-2020_Conifer-003_V12020-09-01,CO_Gunnison-Field-Office-2020_Conifer-003_V1,Conifer-003,CO,Gunnison Field Office,106
17090109460641222017-09-01,1709010946064122,Oak-1225,CO,Gunnison,107
16071913361873042016-09-01,1607191336187304,Oak-159,CO,Gunnison,108
16082409215799052016-09-01,1608240921579905,PJ-387,CO,Montrose,109
16070811131928932016-09-01,1607081113192893,336,CO,Montrose,110
17071807560034342017-09-01,1707180756003434,MtnSage-1354,CO,Gunnison,111
CO_TRFO-2020_SS-095_V12020-09-01,CO_TRFO-2020_SS-095_V1,SS-095,CO,Tres Rios Field Office,112
18060112183738242018-09-01,1806011218373824,SS-065,CO,San Miguel,113
CO_Gunnison-Field-Office-2020_Alpine-212_V12020-09-01,CO_Gunnison-Field-Office-2020_Alpine-212_V1,Alpine-212,CO,Gunnison Field Office,114
CO_Gunnison-Field-Office-2020_Alpine-209_V12020-09-01,CO_Gunnison-Field-Office-2020_Alpine-209_V1,Alpine-209,CO,Gunnison Field Office,115
18060112350013562018-09-01,1806011235001356,GRSGInt-05,CO,Montrose,116
CO_Gunnison-Field-Office-2020_Other-2185_V22020-09-01,CO_Gunnison-Field-Office-2020_Other-2185_V2,Other-2185,CO,Gunnison Field Office,117
18090712075799742018-09-01,1809071207579974,GOS-136,CO,Mesa,118
16062315482584352016-09-01,1606231548258435,Cotton-083,CO,Gunnison,119
16061511444311392016-09-01,1606151144431139,Oak-132,CO,Gunnison,120
15070818530776142015-09-01,1507081853077614,7016 South Monogram 3,CO,NA,121
18080123245024702018-09-01,1808012324502470,Other-2201,CO,Hinsdale,122
16072713483432362016-09-01,1607271348343236,Other-423,CO,Hinsdale,123
18061913554675942018-09-01,1806191355467594,WySage-2243,CO,Gunnison,124
15063011184819872015-09-01,1506301118481987,71,CO,NA,125
COS01000_2021_AS-3382019-09-01,COS01000_2021_AS-338,AS-338,CO,COS01000,126
15072118230793402015-09-01,1507211823079340,7016 N Mono Burn,CO,NA,127
16063016033528592016-09-01,1606301603352859,MtnSage-342,CO,Gunnison,128
18060112325639732018-09-01,1806011232563973,GRSGInt-01,CO,San Miguel,129
18090413310564332018-09-01,1809041331056433,MC-362,CO,San Miguel,130
COS01000_2020_SD-1622019-09-01,COS01000_2020_SD-162,SD-162,CO,COS01000,131
COS01000_2019_GR-3042019-09-01,COS01000_2019_GR-304,GR-304,CO,COS01000,132
1808130725162032018-09-01,180813072516203,Cotton-2035,CO,Gunnison,133
16082512065792142016-09-01,1608251206579214,Oak-152,CO,Gunnison,134
17080215041262192017-09-01,1708021504126219,FID 197,CO,Mesa,135
1708021011365712017-09-01,170802101136571,Conifer-1006,CO,San Juan,136
17081911275468572017-09-01,1708191127546857,Other-1126,CO,San Juan,137
15072017411597872015-09-01,1507201741159787,7016 Monogram Brush,CO,NA,138
CO_TRFO-2020_AS-343_V12020-09-01,CO_TRFO-2020_AS-343_V1,AS-343,CO,Tres Rios Field Office,139
CO_CO-NWD-2020_PJ-1196_V12020-09-01,CO_CO-NWD-2020_PJ-1196_V1,PJ-1196,CO,Grand Junction Field Office,140
CO_Gunnison-Field-Office-2020_Forest_Other-060_V12020-09-01,CO_Gunnison-Field-Office-2020_Forest_Other-060_V1,Forest_Other-060,CO,Gunnison Field Office,141
17070509113130492017-09-01,1707050911313049,MtnSage-1353,CO,Gunnison,142
COS01000_2019_SS-0792019-09-01,COS01000_2019_SS-079,SS-079,CO,COS01000,143
1508130928164802015-09-01,150813092816480,207,CO,NA,144
CO_TRFO-2020_PJ-027_V12020-09-01,CO_TRFO-2020_PJ-027_V1,PJ-027,CO,Tres Rios Field Office,145
COS01000_2019_PJ-0132019-09-01,COS01000_2019_PJ-013,PJ-013,CO,COS01000,146
CO_TRFO-2020_RI-250_V12020-09-01,CO_TRFO-2020_RI-250_V1,RI-250,CO,Tres Rios Field Office,147
15062210312119112015-09-01,1506221031211911,95,CO,NA,148
COS01000_2019_PJ-0092019-09-01,COS01000_2019_PJ-009,PJ-009,CO,COS01000,149
CO_TRFO-2020_SS-087_V12020-09-01,CO_TRFO-2020_SS-087_V1,SS-087,CO,Tres Rios Field Office,150
16090909412639942016-09-01,1609090941263994,PJ-380,CO,Mesa,151
18091807312465982018-09-01,1809180731246598,Aspen-2223,CO,Gunnison,152
